DISTRICT,Year,Murder,Dacoity
ADILABAD,2001,0,0
ANANTAPUR,2001,0,0
CHITTOOR,2001,0,0
CUDDAPAH,2001,0,0
EAST GODAVARI,2001,0,0
GUNTAKAL RLY.,2001,0,0
GUNTUR,2001,0,0
HYDERABAD CITY,2001,0,0
KARIMNAGAR,2001,0,0
KHAMMAM,2001,1,0
KRISHNA,2001,0,0
KURNOOL,2001,0,0
MAHABOOBNAGAR,2001,1,0
MEDAK,2001,0,0
NALGONDA,2001,1,0
NELLORE,2001,1,0
NIZAMABAD,2001,0,0
PRAKASHAM,2001,0,0
RANGA REDDY,2001,0,0
SECUNDERABAD RLY.,2001,0,0
SRIKAKULAM,2001,0,0
VIJAYAWADA,2001,0,0
VIJAYAWADA RLY.,2001,0,0
VISAKHA RURAL,2001,0,0
VISAKHAPATNAM,2001,0,0
VIZIANAGARAM,2001,0,0
WARANGAL,2001,0,0
WEST GODAVARI,2001,0,0
TOTAL,2001,4,0
CHANGLANG,2001,0,0
DIBANG VALLEY,2001,0,0
KAMENG EAST,2001,0,0
KAMENG WEST,2001,0,0
LOHIT,2001,1,0
PAPUM PARE,2001,1,0
SIANG EAST,2001,2,0
SIANG UPPER,2001,0,0
SIANG WEST,2001,0,0
SUBANSIRI LOWER,2001,0,0
SUBANSIRI UPPER,2001,0,0
TAWANG,2001,0,0
TIRAP,2001,0,0
TOTAL,2001,4,0
BARPETA,2001,0,0
BONGAIGAON,2001,0,0
C.I.D.,2001,0,0
CACHAR,2001,0,0
DARRANG,2001,0,0
DHEMAJI,2001,0,0
DHUBRI,2001,0,0
DIBRUGARH,2001,0,0
G.R.P.,2001,0,0
GOALPARA,2001,0,0
GOLAGHAT,2001,0,0
GUWAHATI CITY,2001,0,0
HAILAKANDI,2001,0,0
JORHAT,2001,0,0
KAMRUP,2001,0,0
KARBI ANGLONG,2001,0,0
KARIMGANJ,2001,0,0
KOKRAJHAR,2001,0,0
LAKHIMPUR,2001,0,0
MORIGAON,2001,0,0
N.C. HILLS,2001,0,0
NAGAON,2001,0,0
NALBARI,2001,0,0
R.P.O.,2001,0,0
SIBSAGAR,2001,0,0
SONITPUR,2001,0,0
TINSUKIA,2001,0,0
TOTAL,2001,0,0
ARARIA,2001,1,0
ARWAL,2001,0,0
AURANGABAD,2001,0,0
BAGAHA,2001,0,0
BANKA,2001,0,0
BEGUSARAI,2001,0,0
BETTIAH,2001,0,0
BHABHUA,2001,0,0
BHAGALPUR,2001,0,0
BHOJPUR,2001,0,0
BUXAR,2001,0,0
DARBHANGA,2001,0,0
GAYA,2001,0,0
GOPALGANJ,2001,0,0
JAMALPUR RLY.,2001,0,0
JAMUI,2001,0,0
JEHANABAD,2001,0,0
KATIHAR,2001,0,0
KATIHAR RLY.,2001,0,0
KHAGARIA,2001,0,0
KISHANGANJ,2001,0,0
LAKHISARAI,2001,0,0
MADHEPURA,2001,0,0
MADHUBANI,2001,0,0
MOTIHARI,2001,0,0
MUNGER,2001,0,0
MUZAFFARPUR,2001,0,0
MUZAFFARPUR RLY.,2001,0,0
NALANDA,2001,0,0
NAUGACHIA,2001,0,0
NAWADAH,2001,0,0
PATNA,2001,0,0
PATNA RLY.,2001,0,0
PURNEA,2001,0,0
ROHTAS,2001,0,0
SAHARSA,2001,0,0
SAMASTIPUR,2001,0,0
SARAN,2001,0,0
SHEIKHPURA,2001,0,0
SHEOHAR,2001,0,0
SITAMARHI,2001,0,0
SIWAN,2001,0,0
SUPAUL,2001,0,0
VAISHALI,2001,0,0
TOTAL,2001,1,0
BALRAMPUR,2001,0,0
BILASPUR,2001,3,0
BIZAPUR,2001,0,0
DANTEWARA,2001,0,0
DHAMTARI,2001,0,0
DURG,2001,0,0
GRP RAIPUR,2001,0,0
JAGDALPUR,2001,1,0
JANJGIR,2001,3,0
JASHPUR,2001,0,0
KANKER,2001,6,0
KORBA,2001,4,0
KORIYA,2001,0,0
MAHASAMUND,2001,0,0
RAIGARH,2001,0,0
RAIPUR,2001,0,1
RAJNANDGAON,2001,0,0
SARGUJA,2001,1,0
TOTAL,2001,18,1
NORTH GOA,2001,0,0
SOUTH GOA,2001,0,0
TOTAL,2001,0,0
AHMEDABAD COMMR.,2001,0,0
AHMEDABAD RURAL,2001,0,0
AHWA-DANG,2001,0,0
AMRELI,2001,0,0
ANAND,2001,0,0
BHARUCH,2001,0,0
BHAVNAGAR,2001,0,0
DAHOD,2001,0,12
GANDHINAGAR,2001,0,0
HIMATNAGAR,2001,0,0
JAMNAGAR,2001,0,0
JUNAGADH,2001,0,0
KHEDA NORTH,2001,0,0
KUTCH,2001,0,0
MEHSANA,2001,0,0
NARMADA,2001,0,0
NAVSARI,2001,0,0
PALANPUR,2001,1,0
PANCHMAHAL,2001,2,0
PATAN,2001,0,0
PORBANDAR,2001,0,0
RAJKOT COMMR.,2001,0,0
RAJKOT RURAL,2001,0,0
SURAT COMMR.,2001,0,0
SURAT RURAL,2001,1,0
SURENDRANAGAR,2001,0,0
VADODARA COMMR.,2001,1,0
VADODARA RURAL,2001,2,0
VALSAD,2001,0,0
W.RLY,2001,0,0
TOTAL,2001,7,12
AMBALA,2001,0,0
BHIWANI,2001,0,0
FARIDABAD,2001,0,0
FATEHABAD,2001,0,0
GRP,2001,0,0
GURGAON,2001,0,0
HISAR,2001,0,0
JHAJJAR,2001,0,0
JIND,2001,0,0
KAITHAL,2001,0,0
KARNAL,2001,0,0
KURUKSHETRA,2001,0,0
MAHENDERGARH,2001,0,0
PANCHKULA,2001,0,0
PANIPAT,2001,0,0
REWARI,2001,0,0
ROHTAK,2001,0,0
SIRSA,2001,0,0
SONIPAT,2001,0,0
YAMUNANAGAR,2001,0,0
TOTAL,2001,0,0
BILASPUR,2001,0,0
CHAMBA,2001,0,0
G.R.P.,2001,0,0
HAMIRPUR,2001,0,0
KANGRA,2001,0,0
KINNAUR,2001,0,0
KULLU,2001,0,0
LAHAUL-SPITI,2001,0,0
MANDI,2001,0,0
SHIMLA,2001,0,0
SIRMAUR,2001,0,0
SOLAN,2001,0,0
UNA,2001,0,0
TOTAL,2001,0,0
ANANTNAG,2001,0,0
ANANTNAG,2001,0,0
AWANTIPORA,2001,0,0
BARAMULLA,2001,0,0
BORDER,2001,0,0
BUDGAM,2001,0,0
CRIME JAMMU,2001,0,0
CRIME SRINAGAR,2001,0,0
DODA,2001,0,0
GANDERBAL,2001,0,0
JAMMU,2001,0,0
KARGIL,2001,0,0
KATHUA,2001,0,0
KULGAM,2001,0,0
KUPWARA,2001,0,0
LEH,2001,0,0
POONCH,2001,0,0
PULWAMA,2001,0,0
RAILWAYS,2001,0,0
RAJOURI,2001,0,0
RAMBAN,2001,0,0
REASI,2001,0,0
SRINAGAR,2001,0,0
UDHAMPUR,2001,0,0
TOTAL,2001,0,0
BOKARO,2001,0,0
CHAIBASA,2001,0,0
CHATRA,2001,1,0
DEOGHAR,2001,0,0
DHANBAD,2001,0,0
DHANBAD RLY.,2001,0,0
DUMKA,2001,0,0
GARHWA,2001,0,0
GIRIDIH,2001,0,0
GODDA,2001,0,0
GUMALA,2001,0,0
HAZARIBAGH,2001,0,0
JAMSHEDPUR,2001,0,0
JAMSHEDPUR RLY.,2001,0,0
JAMTARA,2001,0,0
KODERMA,2001,0,0
LATEHAR,2001,0,0
LOHARDAGGA,2001,0,0
PAKUR,2001,0,0
PALAMU,2001,0,0
RANCHI,2001,18,0
SAHEBGANJ,2001,1,0
SARAIKELA,2001,0,0
SIMDEGA,2001,0,0
TOTAL,2001,20,0
BAGALKOT,2001,0,0
BANGALORE COMMR.,2001,0,0
BANGALORE RURAL,2001,0,0
BELGAUM,2001,0,0
BELLARY,2001,0,0
BIDAR,2001,0,0
BIJAPUR,2001,0,0
CHAMARAJNAGAR,2001,0,0
CHICKMAGALUR,2001,0,0
CHITRADURGA,2001,0,0
DAKSHIN KANNADA,2001,0,0
DAVANAGERE,2001,0,0
DHARWAD COMMR.,2001,0,0
DHARWAD RURAL,2001,0,0
GADAG,2001,0,0
GULBARGA,2001,0,0
HASSAN,2001,0,0
HAVERI,2001,0,0
K.G.F.,2001,0,0
KODAGU,2001,1,0
KOLAR,2001,0,0
KOPPAL,2001,0,0
MANDYA,2001,0,0
MYSORE COMMR.,2001,0,0
MYSORE RURAL,2001,0,0
RAICHUR,2001,0,0
RAILWAYS,2001,0,0
SHIMOGA,2001,0,0
TUMKUR,2001,0,0
UDUPI,2001,0,0
UTTAR KANNADA,2001,0,0
TOTAL,2001,1,0
ALAPUZHA,2001,0,0
CBCID,2001,0,0
ERNAKULAM,2001,0,0
IDUKKI,2001,0,0
KANNUR,2001,1,0
KASARGOD,2001,0,0
KOLLAM,2001,0,0
KOTTAYAM,2001,0,0
KOZHIKODE,2001,0,0
MALAPPURAM,2001,0,0
PALAKKAD,2001,1,0
PATHANAMTHITTA,2001,0,0
RAILWAYS,2001,0,0
THRISSUR,2001,1,0
TRIVANDRUM,2001,0,0
WAYANADU,2001,1,0
TOTAL,2001,4,0
BALAGHAT,2001,1,0
BARWANI,2001,2,0
BETUL,2001,0,0
BHIND,2001,0,0
BHOPAL,2001,1,0
BHOPAL RLY.,2001,0,0
CHHATARPUR,2001,0,0
CHHINDWARA,2001,2,0
DAMOH,2001,0,0
DATIYA,2001,0,0
DEWAS,2001,0,0
DHAR,2001,3,0
DINDORI,2001,0,0
GUNA,2001,2,0
GWALIOR,2001,1,0
HARDA,2001,0,0
HOSHANGABAD,2001,1,0
INDORE,2001,0,0
INDORE RLY.,2001,0,0
JABALPUR,2001,2,0
JABALPUR RLY.,2001,0,0
JHABUA,2001,0,0
KATNI,2001,0,0
KHANDWA,2001,2,0
KHARGON,2001,0,0
MANDLA,2001,1,0
MANDSAUR,2001,0,0
MORENA,2001,0,0
NARSINGHPUR,2001,0,0
NEEMUCH,2001,0,0
PANNA,2001,1,0
RAISEN,2001,0,0
RAJGARH,2001,1,0
RATLAM,2001,1,0
REWA,2001,0,0
SAGAR,2001,1,0
SATNA,2001,0,0
SEONI,2001,0,0
SHAHDOL,2001,0,0
SHAJAPUR,2001,0,0
SHEOPUR,2001,1,0
SHIVPURI,2001,2,0
SIDHI,2001,0,0
SIHORE,2001,1,0
TIKAMGARH,2001,2,0
UJJAIN,2001,0,0
UMARIYA,2001,0,0
VIDISHA,2001,0,0
TOTAL,2001,28,0
AHMEDNAGAR,2001,1,0
AKOLA,2001,0,0
AMRAVATI COMMR.,2001,0,0
AMRAVATI RURAL,2001,0,0
AURANGABAD COMMR.,2001,0,0
AURANGABAD RURAL,2001,0,0
BEED,2001,0,0
BHANDARA,2001,0,0
BULDHANA,2001,0,0
CHANDRAPUR,2001,0,0
DHULE,2001,2,0
GADCHIROLI,2001,0,0
GONDIA,2001,0,0
HINGOLI,2001,0,0
JALGAON,2001,0,0
JALNA,2001,0,0
KOLHAPUR,2001,0,0
LATUR,2001,0,0
